treat.pair,site,disturbance.type,disturbed/control,metric,value,lowCI,uppCI
7,Careiro Castanho,fire (terra firme),disturbed,ht.light50,14.64166667,13.71360905,15.56972428
7,Careiro Castanho,fire (terra firme),disturbed,lahv,65.36171603,60.90377879,69.81965327
7,Careiro Castanho,fire (terra firme),disturbed,lai,5.576117955,5.384065134,5.768170776
7,Careiro Castanho,fire (terra firme),disturbed,lai50,10.19166667,9.460618029,10.9227153
7,Careiro Castanho,fire (terra firme),disturbed,lawh,11.55806628,10.97031411,12.14581845
7,Careiro Castanho,fire (terra firme),disturbed,max.can.ht,38,NA,NA
7,Careiro Castanho,fire (terra firme),disturbed,mean.can.ht,19.47625875,18.57619407,20.37632344
7,Careiro Castanho,fire (terra firme),disturbed,sd.can.ht,4.907359237,4.53526244,5.279456035
8,Careiro Castanho,fire (igapo),control,ERR,0.532126142,0.51117322,0.553079065
8,Careiro Castanho,fire (igapo),control,gap.frac,0.006666667,0.002184837,0.011148496
8,Careiro Castanho,fire (igapo),control,hetero.frac,1.2,NA,NA
8,Careiro Castanho,fire (igapo),control,ht.light50,15.35833333,14.59400308,16.12266359
8,Careiro Castanho,fire (igapo),control,lahv,76.32783813,71.63020977,81.02546649
8,Careiro Castanho,fire (igapo),control,lai,5.979291632,5.785161548,6.173421716
8,Careiro Castanho,fire (igapo),control,lai50,11.85,11.19859795,12.50140205
8,Careiro Castanho,fire (igapo),control,lawh,12.60904779,12.06485296,13.15324261
8,Careiro Castanho,fire (igapo),control,max.can.ht,38,NA,NA
8,Careiro Castanho,fire (igapo),control,mean.can.ht,18.33678623,17.63325986,19.0403126
8,Careiro Castanho,fire (igapo),control,sd.can.ht,3.604527285,3.324966848,3.884087723
8,Careiro Castanho,fire (igapo),disturbed,ERR,0.471477854,0.441644727,0.501310982
8,Careiro Castanho,fire (igapo),disturbed,gap.frac,0.34,0.287596258,0.392403742
8,Careiro Castanho,fire (igapo),disturbed,hetero.frac,2.125,NA,NA
8,Careiro Castanho,fire (igapo),disturbed,ht.light50,9.441666667,7.995737712,10.88759562
8,Careiro Castanho,fire (igapo),disturbed,lahv,22.95522159,18.63636377,27.2740794
8,Careiro Castanho,fire (igapo),disturbed,lai,1.617443899,1.361169594,1.873718205
8,Careiro Castanho,fire (igapo),disturbed,lai50,11.74166667,10.66850745,12.81482588
8,Careiro Castanho,fire (igapo),disturbed,lawh,12.14713359,11.2550914,13.03917578
8,Careiro Castanho,fire (igapo),disturbed,max.can.ht,33,NA,NA
8,Careiro Castanho,fire (igapo),disturbed,mean.can.ht,11.17915244,9.93575166,12.42255321
8,Careiro Castanho,fire (igapo),disturbed,sd.can.ht,5.988131766,5.434145974,6.542117557
9,BDFFP (Florestal),clearing and regrowth,control,ERR,0.561926778,0.537526105,0.586327451
9,BDFFP (Florestal),clearing and regrowth,control,gap.frac,0.036470588,0.019473665,0.053467512
9,BDFFP (Florestal),clearing and regrowth,control,hetero.frac,1.222222222,NA,NA
9,BDFFP (Florestal),clearing and regrowth,control,ht.light50,17.85882353,16.8080043,18.90964276
9,BDFFP (Florestal),clearing and regrowth,control,lahv,84.14009245,78.82472936,89.45545555
9,BDFFP (Florestal),clearing and regrowth,control,lai,6.107742133,5.926150824,6.289333441
9,BDFFP (Florestal),clearing and regrowth,control,lai50,12.24705882,11.44762821,13.04648944
9,BDFFP (Florestal),clearing and regrowth,control,lawh,13.54943485,12.97460298,14.12426673
9,BDFFP (Florestal),clearing and regrowth,control,max.can.ht,40,NA,NA
9,BDFFP (Florestal),clearing and regrowth,control,mean.can.ht,24.71484339,23.89941118,25.53027559
9,BDFFP (Florestal),clearing and regrowth,control,sd.can.ht,4.615739178,4.223408641,5.008069716
9,BDFFP (Cecropia),clearing and regrowth,disturbed,ERR,0.58797317,0.565341761,0.610604578
9,BDFFP (Cecropia),clearing and regrowth,disturbed,gap.frac,0.023595506,0.012735461,0.03445555
9,BDFFP (Cecropia),clearing and regrowth,disturbed,hetero.frac,1.384615385,NA,NA
9,BDFFP (Cecropia),clearing and regrowth,disturbed,ht.light50,13.47191011,12.85488777,14.08893246
9,BDFFP (Cecropia),clearing and regrowth,disturbed,lahv,60.30683127,57.30443699,63.30922555
9,BDFFP (Cecropia),clearing and regrowth,disturbed,lai,5.409440209,5.254529995,5.564350423
9,BDFFP (Cecropia),clearing and regrowth,disturbed,lai50,9.247191011,8.819707968,9.674674054
9,BDFFP (Cecropia),clearing and regrowth,disturbed,lawh,11.05913613,10.71119927,11.40707299
9,BDFFP (Cecropia),clearing and regrowth,disturbed,max.can.ht,32,NA,NA
9,BDFFP (Cecropia),clearing and regrowth,disturbed,mean.can.ht,21.22856612,20.70534838,21.75178385
9,BDFFP (Cecropia),clearing and regrowth,disturbed,sd.can.ht,4.38375178,4.027180606,4.740322955
10,BDFFP (Florestal),clearing and regrowth,control,ERR,0.561926778,0.537526105,0.586327451
10,BDFFP (Florestal),clearing and regrowth,control,gap.frac,0.036470588,0.019473665,0.053467512
10,BDFFP (Florestal),clearing and regrowth,control,hetero.frac,1.222222222,NA,NA
10,BDFFP (Florestal),clearing and regrowth,control,ht.light50,17.85882353,16.8080043,18.90964276
10,BDFFP (Florestal),clearing and regrowth,control,lahv,84.14009245,78.82472936,89.45545555
10,BDFFP (Florestal),clearing and regrowth,control,lai,6.107742133,5.926150824,6.289333441
10,BDFFP (Florestal),clearing and regrowth,control,lai50,12.24705882,11.44762821,13.04648944
10,BDFFP (Florestal),clearing and regrowth,control,lawh,13.54943485,12.97460298,14.12426673
10,BDFFP (Florestal),clearing and regrowth,control,max.can.ht,40,NA,NA
10,BDFFP (Florestal),clearing and regrowth,control,mean.can.ht,24.71484339,23.89941118,25.53027559
10,BDFFP (Florestal),clearing and regrowth,control,sd.can.ht,4.615739178,4.223408641,5.008069716
10,BDFFP (Vismia),clearing and regrowth,disturbed,ERR,0.577639293,0.556611667,0.598666919
10,BDFFP (Vismia),clearing and regrowth,disturbed,gap.frac,0.035154553,0.019129084,0.051180022
10,BDFFP (Vismia),clearing and regrowth,disturbed,hetero.frac,1.25,NA,NA
10,BDFFP (Vismia),clearing and regrowth,disturbed,ht.light50,12.52631579,12.00091464,13.05171694
10,BDFFP (Vismia),clearing and regrowth,disturbed,lahv,48.72445615,46.33732872,51.11158357
10,BDFFP (Vismia),clearing and regrowth,disturbed,lai,4.97788878,4.793544004,5.162233557
10,BDFFP (Vismia),clearing and regrowth,disturbed,lai50,9.063157895,8.644404207,9.481911583
10,BDFFP (Vismia),clearing and regrowth,disturbed,lawh,9.791219106,9.464577367,10.11786085
10,BDFFP (Vismia),clearing and regrowth,disturbed,max.can.ht,25,NA,NA
10,BDFFP (Vismia),clearing and regrowth,disturbed,mean.can.ht,14.9616793,14.45235828,15.47100033
10,BDFFP (Vismia),clearing and regrowth,disturbed,sd.can.ht,2.466805426,2.206711389,2.726899464
11,TNF K83,clearing and regrowth,control,ERR,0.502488765,0.435513561,0.56946397
11,TNF K83,clearing and regrowth,control,gap.frac,0.008333333,-0.008,0.024666667
